job_id,submit_time,wait_time,runtime,allocated_CPUs,avg_CPU_time_used,used_memory,requested_CPUs,requested_time,requested_memory,status,user_id,group_id,executable_number,queue_number,partition_number,preceding_job_number,think_time_from_preceding_job,CPU_time,start_time,end_time,num_running_jobs,running_job_requested_CPUs,running_job_requested_CPU_time,running_job_requested_wallclock_limit,running_job_nodes_assigned,running_job_mean_CPUs,running_job_mean_CPU_time,running_job_mean_wallclock_limit,elapsed_runtime_total,elapsed_runtime_mean,num_waiting_jobs,waiting_job_requested_CPUs,waiting_job_requested_CPU_time,waiting_job_requested_wallclock_limit,waiting_job_mean_CPUs,waiting_job_mean_CPU_time,waiting_job_mean_wallclock_limit,elapsed_waiting_time_total,elapsed_waiting_time_mean,should_wait_runtime_predicted,should_wait_runtime_actual,should_wait_runtime_predicted_5,should_wait_runtime_predicted_10,should_wait_runtime_predicted_15,should_wait_runtime_predicted_30,should_wait_runtime_predicted_60
259,18391395,1791,9143,4096,-1,-1,4032,18000,-1,-1,16,-1,-1,2,-1,-1,-1,72576000,18393186,18402329,20,71667,1417233600,542700,,3583.35,70861680,27135,213539,10676.95,31,268572,3362163600,623400,8663.612903,108456890.3,20109.67742,443581,14309.06452,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
260,18391401,9,9315,2048,-1,-1,2024,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36432000,18391410,18400725,20,71667,1417233600,542700,,3583.35,70861680,27135,213659,10682.95,32,272604,3434739600,641400,8518.875,107335612.5,20043.75,443773,13867.90625,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
261,18391405,18,9358,2048,-1,-1,2024,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36432000,18391423,18400781,20,71667,1417233600,542700,,3583.35,70861680,27135,213739,10686.95,33,274628,3471171600,659400,8322.060606,105187018.2,19981.81818,443905,13451.66667,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
262,18391460,10893,9139,4096,-1,-1,4032,18000,-1,-1,16,-1,-1,2,-1,-1,-1,72576000,18402353,18411492,22,75715,1490097600,578700,,3441.590909,67731709.09,26304.54545,214926,9769.363636,32,272604,3434739600,641400,8518.875,107335612.5,20043.75,445661,13926.90625,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
263,18391466,9270,9330,2048,-1,-1,2024,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36432000,18400736,18410066,22,75715,1490097600,578700,,3441.590909,67731709.09,26304.54545,215058,9775.363636,33,276636,3507315600,659400,8382.909091,106282290.9,19981.81818,445859,13510.87879,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
264,18391470,9327,9355,2048,-1,-1,2024,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36432000,18400797,18410152,22,75715,1490097600,578700,,3441.590909,67731709.09,26304.54545,215146,9779.363636,34,278660,3543747600,677400,8195.882353,104227870.6,19923.52941,445995,13117.5,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
265,18391507,19996,9143,4096,-1,-1,4032,18000,-1,-1,16,-1,-1,2,-1,-1,-1,72576000,18411503,18420646,22,75715,1490097600,578700,,3441.590909,67731709.09,26304.54545,215960,9816.363636,35,280684,3580179600,695400,8019.542857,102290845.7,19868.57143,447290,12779.71429,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
266,18391514,18570,9334,2048,-1,-1,2024,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36432000,18410084,18419418,22,75715,1490097600,578700,,3441.590909,67731709.09,26304.54545,216114,9823.363636,36,284716,3652755600,713400,7908.777778,101465433.3,19816.66667,447542,12431.72222,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
267,18391520,18640,12743,2048,-1,-1,2024,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36432000,18410160,18422903,22,75715,1490097600,578700,,3441.590909,67731709.09,26304.54545,216246,9829.363636,37,286740,3689187600,731400,7749.72973,99707772.97,19767.56757,447764,12101.72973,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
268,18391675,4,1505,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18391679,18393184,20,71619,1445860800,557100,,3580.95,72293040,27855,216493,10824.65,38,288764,3725619600,749400,7599.052632,98042621.05,19721.05263,453654,11938.26316,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
